index,tweet,label
6933,"gapapa masih ada besok, ayoo tetap menyerah jangan semangat!! :(",Sad
2985,wkwk sama bangga banget merasa bener nebak jeongwoo walaupun sempet ragu sama bahunya tapi yakin suara jeongwoo,Joy
6412,sedih aa. tahan ngantuk kot,Sad
1791,tolong panik ini melanda lagi,Fear
6490,"rindumu sajak sentuhan. kalimatku pernah pucat pula. sama halnya dengan keriput lengan ibunda; mengelus hangat, sepi kulitku.",Sad
2877,"barakallahu fii umrik dok.. sehat, panjang umur, bahagia dunia dan akhirat. aamiin.",Joy
6728,"happy birthday tapi sedih season ni maybe tiada hadiah silverware with club epl sudah sah jauh ketinggalan. ucl je lah tinggal, itupun kalau mampu.",Sad
2053,semangat ngantornyaa,Joy
3950,nah ini suka banget,Love
71,gausah kaget kalau tiba2 gue jadi benci sama sodara gue. dasar orang gatau diri. benalu. kacang lupa kulit. bajingan sama sodara sendiri.,Anger
2288,alhamdulillah kayanya enak tuh kak,Joy
4165,"menjalani operasi pada senin, 31 januari. sejak itu, ia menerima perawatan rawat inap dan tes pcrnya negatif sebelum keluar dari rumah sakit. jimin tidak menunjukkan gejala luar biasa selama berada di rumah sakit. dia menderita sakit tenggorokan ringan saat masuk ke rumah sakit+",Neutral
1260,eh anjir woozi takut bgt gue takutt,Fear
1666,hahaha iya benerr aku pun kaget ternyata ujung2nya anak bio,Fear
5277,"6. mata berkunang2, kalau main hp makin stress dan panik dibuatnya (paling kerasa pas siang hari) 7. perasaan ku akan timbul gak enak kalau berada didalam kamar yg berkedap, tapi kalau diluar ruangan yg ada hawa2 anginnya gak ada. justru oke banget. sudah jalan 8 hari.",Neutral
5684,"trus pas pulang, kn aku dianter sma kak yer, nah aku bilang deh ke kak yer.. trus kta kak yer, dikantornya tuh banyak banget yg suka sma kakak, sering ngajak lunch bareng or keluar pas weekend bareng.. tapi ya gitu gk ditanggepin aja malas soalnya",Neutral
6317,"banyak fans tersakiti. entah dr bws atau shipper main couple di series. posisi win sama female lead di series baru jg jadi serba salah. mereka mau deket ke bright nanti dihujat, gak deket dibilang gak ada momen dan itu jg ngebuat fans kecewa.",Sad
2423,semangat mas bogs,Joy
6740,ayang w kemanaasiee sepi bgtt .mingyu,Sad
1695,malu bgt kalo inget moment jaman main rp,Fear
1095,"tapi keselnya sih ya itu, ada pertanyaan dari base yang mewakili gue banget, tapi kok sepi banget, gue udah nungguin padal",Anger
3936,"hai, jinni! cantik banget profilenya. aku lagi suka lagu-lagunya cigarettes after sex sih, apalagi yang ini. kalau kamu akhir-akhir ini lagi suka dengerin apa? btw selamat ya untuk debutnya!",Love
4198,"kalau menurut etika menaiki kereta yang kucari di internet semalam, tidak ada yang melarang tiduran di kompartemen kereta. dia lalu tersenyum. ""asal kau tidak berisik dan mengotori kompartemen, itu saja.""",Neutral
2937,alhamdulillah ga malu,Joy
1630,cuma kaget doang..,Fear
4319,"gue ga kenal anak mipa 3, ga kedengaran kabar nya",Neutral
1881,yg blm gw fb bentar ya aksjsj gue takut limit,Fear
4738,udah biasa ini mah,Neutral
1612,masih kaget tb2 di jepang,Fear
978,demi tuhan risih banget. twitter ada fitur kayak gini di timeline ih. udh di silang masih suka muncuull,Anger
6215,"baru bangun rumah dh sepi, gatau pada kemana jadi kesepian",Sad
5022,"sabar je, debat sama orang tolol minim edukasi emang ya gitu gabakal ada abisnya",Neutral
3859,"sayang istri liat suka beli baju pesta di ig shop langsung cushh beli baju dehh, enak nya kalau terhubung indihome mempermudah dan memperlancar kebtuhan online",Love
848,udah deh ngaku aja siapa yang mbeking nih bupati. ga takut dihisab panitia hari akhir tah?,Anger
3477,"bangun tidur, gitaran, no make up, ngegame, doing sport thingy (baseball dll) duh gue suka semua",Love
4645,"pernikahan yang biasa saja, sudah tidak mudah, apalagi kalau anda masukkan orang ketiga",Neutral
4294,"jangan terlalu banyak memikirkan sesuatu,pikirkan saja apa kepentingan mu dan apa yg menjadi tujuanmu, sisanya lupakan saja.",Neutral
6426,ga ngestan sn tapi bias gue dia.. sedih banget asli,Sad
47,yg dinamakan org prik bin tolol,Anger
5252,grgr teminum kopi kah jadi gugup tadi?,Neutral
1350,"takut gue, mau hidup tenang",Fear
6515,"page 36/365 seharusnya jujur dari awal si kalo emang sebenernya gak pernah tulus, jangan terpaut karna kasihan datangnya. yang ikhlas ya jangan buat orang yang mengharapkan mu kecewa",Sad
446,"mungkin ngerasa gaenak pak karna gopal udah tinggi jabatannya di aafikabbogor, dan mungkin juga dikira cuma bercanda, mau negur ga berani mau marah juga ga berani mungkin gitu yaa",Anger
1743,klo bener semua takut,Fear
844,"ini maksutnya malu shy apa malu ""palu"" sih?! yang jelas dong!!",Anger
6583,baru bangun tidur woyy elah sedih bgt denise left padahal masih positif thinking dia bakalan cb ot7 mana vine gk ada pengumuman resmi lg emg agenshit,Sad
5918,"jangan sedih, mereka tiang, kita normal kok.",Neutral
6527,pagi pagi langsung dapat berita sedih,Sad
2669,demi apapun suaranya niji enak banget ya allah. sanji mengmaaf aku gonggong buat niji dulu,Joy
4914,"pedri : ""atletico? merekaa akan keluar untuk menekan seperti biasa dan mencuri bola dari lapangan lawan. mereka memberikan banyak intensitas dalam permainan. kami berharap untuk menguasai bola dan memainkan permainan kami.",Neutral
1294,terkadang kita selalu memaafkan seseorang hanya karena takut kehilangan.,Fear
2184,semangat yaa para pejuang keluarga.. semoga dilancarkan rezekinya yg berkah.aamiin,Joy
3049,"wow hari ini rasa rajin banget. belanja ke pasar terus bikin ebi furai nge-recook resepnya ci devina hermawan. untung berhasi dan enak, jadi semua orang rumah suka.",Joy
3881,kakakk bagus banget suka suka alaska florida sgt super duper bintang 5 ilyy - terima kasih glad you like it! waduh bintangnya ada 6 tuchh,Love
6611,versi selesai anjir sedih bgt,Sad
6930,sayangnya kanra masih belum puas.,Sad
4217,woohh boleh tuh caakk.. labu siam kan? yg ukuran normal atau yg buat lalapan biasanya lu?,Neutral
1112,"anj j1min aing udah mau sedih, sialan lu ngetiknya kek gi mati aja, gk jlas lu ji udah lah gi gak usah d kasih jatah 5 bulan aja",Anger
776,"berkoar-koar sajalah yg kek gini sudah di sumpal pakai duit la diem la termasuk yg ngamuk-ngamuk di sebut jin buang anak, jin nya saja gak marah kok..yg manusianya ngamuk-ngamuk, sadarkah kalian itu sudah di provokasi woii ? di kampung saya jg ada tempat yg disebut gitu",Anger
6690,duh.. gimana ya buka pola pikir orang-orang kayak gini.. sedih aja ngebacanya..,Sad
2153,semangat.,Joy
4897,apa kabar ya pak raimu din a¿?,Neutral
3889,"suka banget sama lagu barunya kangen band, gak tau udah berapa lama gak ngehype mereka dan biasku kak izzy masih tetep ganteng sama kayak belasan tahun kemaren",Love
4508,"ya makanya aneh banget, bukan perkara gue punya anak atau enggak, gue nih emang anti bgt sama kekerasan, dan dia beranggapan bahwa normal untuk bentak/nyubit anak.",Neutral
3901,"gua selalu suka kalau pagi-pagi buka tello terus ada yang kirim ginian huhu please lu cepet sembuh yaa makasih banyak karena udah baca ajay dan kugi, nanti gua update lagi oke?? cepet sembuh banget ini gua benerannnn",Love
5681,rata2 klo cuma follow ngga ada deh yg pake proof. aku pribadi suka kasih karena biar ga ke kelewat jeda waktu yg 3 menit,Neutral
1851,takut abis barbar,Fear
1963,baru nyadar dulu kenapa suka banget beli boneka babi. jadi numpuk di lemari gini astaga,Fear
4303,di ft galak2 bgt diteriak2in sm kating di sini saking baiknya sblm mulai apa2 ditanya dulu apa kabar semalem tidur jam brp sm katingnya,Neutral
3980,"waktu awal suka banget tuh karena sering dicengi di kokomz perkara gua pasang bio leebit di rp jadi dicengin lee kn*w cubit bgstt padahal itu nama skzoo-nya lino. -,- terus lama kelamaan baper sih gua.. maaf baperan terus confess, ternyata cubit menerima confessan gw.",Love
3043,"amanda, dia temen sekelas aku waktu kelas 7. dia tuh cantik banget masyaallah, baik jugaa kalo ngomong tuh anggun, bawaannya adem aja kalo ketemu dia, trus anaknya solehah + pinter, dia suka ikut2 organisasi gitu. kurang apalgi coba",Joy
485,arghh emosi liat bang ziel,Anger
6200,"aku sedih diputusin pacar, katanya aku udah gak tampan, gak mapan. aku harus bilang apa? “ akurapopo ¦",Sad
3770,dear cowo : kenapa si kalian suka banget ga gasi kejelasan sama cewe apa kalian itu aslinya lagi deket sama banyak cewe dan ga mau mereka hilang,Love
5424,bahagia rasanya putri asli papua kakak fientje maritje suebu sebagai duta besar ri untuk selandia baru. papua = torang torang = indonesia indonesia = papua papua harus tetap bersama indonesia.,Neutral
30,emosi bung,Anger
1879,"ngeri, nganti dimakamkan di satu liang",Fear
5270,takut boongan ya ??,Neutral
5623,punten mama rossa beneran melupakan al andin baby z. al bukan anaknya mama rossa ya. sampai ketika mama rossa bahagia aja ditinggalin al,Neutral
3612,"saya pasti maulah dipeluk sama ibu guruku sayang...... saya suka kehangatan dari wanita dewasa seperti ibu karena ibu adalah wanita berpengalaman. begitu saya dipeluk ibu lalu saya ciuman dengan ibu, netek asi ibu, dan pipis enak lagi dan lagi",Love
4560,"aku udah open seperti biasa ya! hehe yuk yang mau order bisa banget nih langsung dm atau wa aku, have a nice day guys!",Neutral
6296,sedih banget onlen lagi,Sad
3337,aku nda suka dispet tp makasi y udah kasih foto ini,Love
636,hukum penguasa beraninya ke rakyat kecil bangsat plus bajingan!!,Anger
4650,"kalau kebalik gmn?jangan jangan semua dari nusantara skrg jg udah biasa kita kirim barang baku, balik balik barang jadi yg kita anggap ""asli luar"" catatan sejarah adalah potret waktu peristiwa, bukan sejarah itu sendiri",Neutral
2406,good morning ka sky! semangat ngeba hari ini yah sama jangan lupa sarapann,Joy
1083,"orang cuma bisa nya ngeliati hidup orang lain saja, tp mereka nggak pernah ngeliati hidup mereka sendiri aja belum bener!",Anger
861,"pake pura2 kaget segala, sok iya -_-",Anger
5538,lah anj enak banget??,Neutral
903,kalau emang mau negakin syariat jangan setengah2 dan yang enak aja. orang2 kayak gini yang bikin citra poligami buruk dimata orang2. banyak orang jadi nganggap poligami karna sangean doang. bikin emosi,Anger
6946,"kamu jahat tapi nikmat, aku bingungggg :(",Sad
109,akhirnya bangun siang. tp si bodoh ini kaga solat subuh,Anger
6809,sedih mart mu takde piala musim ni,Sad
5816,"oke, pertama-tama. ulangi kalimat enih. ""cih, kudaranai watashi bangun di 2022 dan belum menjadi character anime serta belum tinggal di isekai. ck watashi sangat kecewa.""",Neutral
4401,"ada yang terlihat tenang padahal sedang berantakan, ada yang terlihat bahagia padahal sedihnya luar biasa.",Neutral
4253,gapapa ko nder santai aja,Neutral
5946,kok sepi rep nya gak kek pas masa-masa penjilat,Neutral
5033,"bahan bakar marah & benci, juga kekerasan adalah rasa takut. kalau mudah marah & benci, bisa jadi di dalam diri penuh ketakutan. tanpa takut, seseorang enggak akan bisa marah & benci. tidak adanya takut barangkali di situlah sebenar-benarnya cinta",Neutral
4348,halo apa kabar samporasun kepriye kabare om suastiastu nara gerotelo napa habar thats all from indonesia,Neutral
1831,"walaupun danpuspom anak buahnya emangnya lu kebal hukum, tugas puspom ga liat lu jendralnya tapi liat kasus hukumnya. bilang aja dung emang takut dikerangkeng.",Fear
6813,"jd rayyan positif guys, sbg tante yg lemah ini gbs bgt denger berita keponakannya sakit hh sedih bgt gbs bantu nemenin anaknya blm bangun jd blm dikasi tau aa gatega",Sad
782,benci banget gw sama yg jualan agama.. agama cuma topeng.,Anger
6913,"somehow agak ragu kalau dibilang yg dicari 'talent' karena pada dasarnya yg diliat ada dua = visual sama talent tapi wajar sih namanya jg showbiz. indo aja begitu, gimana korea.. cukup menyedihkan",Sad
6576,"ih sedih bayanginnya, gimanapun suatu hari semuanya pasti mencapai akhir kan ya :(",Sad
2820,"tengok orang lain bahagia sangat in relationship, jadi ingin",Joy
3951,"aku sering banget ngeluh soal muka yangg sensitif, suka muncul breakout gak jelas dan dimana-mana, dan aku pengen deh punya muka yg glowing kayak cewek lainnya. kadang juga capek sama muka sendiri karna sering breakout",Love
1825,kalo yang hockey summer masi bisa diliat lah ini kek pas oper oper pucknya tuh bisa ngepas gitu mana kan mereka lari sana sini liatnya takut pada kepleset,Fear
1094,akibat?? pernah liat plat b bawa kendaraan di luar jakarta? ugal2an padahal jalanan sepi kayak dikejer setan bego gitu,Anger
5007,"yah kok marah, padahal cuma ngasi tau yg bener..",Neutral
5951,kalo gak takut sedih emang gak waras,Neutral
3133,"aku bukannya nda suka sih tp ngga bisaa, karena punya alergi rhinitis dan kt dokter kalau bisa di kamar jangan ada terlalu banyak barang biar nda memperparah, jd wkt itu siklusnya beli - baca - jual/kasih orang. untungnya sekarang udah ada e-reader puji tuhan!",Joy
4287,tuli-tulis saja nama2. rakyat kurang lebih 200 juta.,Neutral
6841,mantap ah sedih kucing mati pun aku kerja lagi. hamba sistem nampaknya.,Sad
5461,malah minyak satu harga adanya cuma di awang awang.. kudu produksi sendiri minyaknya..,Neutral
1654,yep truee lagi lagi the oldies kan semua macam takut for booster sebab baca news regarding post-booster effectsi mmg ingat nak walk in ppv dkt pwtc tu je nanti hahah,Fear
5798,kenapa hati mu lagi sepi ? ya karna kalau rame lanjut part 2,Neutral
5420,"wts acc rp y13 f1k - v email (dpt pass email), vall + 1k - go green - masuk ht mt - jarang ke ?72h - bukan bekas sus - enak di upfoll 65k,,t. wts tawarin need murce ijo",Neutral
2858,"yosh semangat teruus! maacii asmakdoen pantjen ouye! semangat jg buat elu maakk, penasaran nih w sama hari senin lu nanti :d",Joy
4743,"kenapa belum? sarapan dong, apa ngga biasa sarapan?",Neutral
4597,"baru saja mengirim foto jayapura, indonesia",Neutral
4848,"imam al-barbahari rahimahullah: jika engkau melihat seseorang duduk bersama ahli bidaah, ingatkan dan beri tahu dia. jika ia masih saja duduk bersama ahli bidaah setelah mengetahuinya, jauhilah dia karena sesungguhnya dia adalah pengikut hawa nafsu syarhus sunnah 144/121",Neutral
4410,boleh ikut pa kabar ratu ?,Neutral
4022,"cewek itu suka berpura-pura dan menutupi semua masalahnya, karena dia gak mau ngerepotin dan bikin khawatir orang yang dia sayang",Love
4538,"biasa nya gitu kalo abis ke lock, bakal balik kok",Neutral
2955,masih paling nanti agak cacat aja dikit wkwk,Joy
5924,twitter makin sepi apa yang fake udah pada mati ya,Neutral
1204,"ga bolehh, soalnya udah makan mie kemarin' takut lambung aku kambuh lagi kalo keseringan wkwk",Fear
2202,"pelan pelan sama yvyv h*jnya dibalikn ke ranjang. ga kasar ga kenceng,""sayangnya, yvyv nakal ya. ditinggal malah main sendiri. ya udah main aja situ sama bantal hyung lagi. "" h*j geleng geleng panik. asli suara y*hnya lembut bgt. ga kaya marah. ""ga mau, ga puas. pingin yvyv""",Joy
5381,aph yg membuat mu ragu nak?,Neutral
3326,"iya bangett suka minderan, kalo nemenin temen yg suka nya cuma liat2 aja kadang suka malu banget",Love
5456,dia memberi kekuatan pada yang lemah dan menambah semangat kepada yang tiada berdaya,Neutral
3176,"jangan khawatir boy, gw juga gagal pinalti tadi kok. apalagi ini cuma kompetisi haha hihi piala fa aja, santai boy.. kata babang ronaldo.",Joy
7041,pernah nolak orang yg padahal gua suka banget ama dia alhasil gw gamon ampe 11 tahun berlalu,Sad
1770,"tambah ngeri aja ni,,",Fear
829,"ngimpi koq bikin emosi org .. bikin laper lg.. pokok'e maadyaaaaang.. sugeng enjing, happy weekend",Anger
6749,"pdhal w ga stan secret number, tp kok ikut sedih denger denise keluar",Sad
6588,gw yakin kedepannya lockey sedih kalo liat gambar ini,Sad
627,kdrun bego tuh..,Anger
4149,gatau man reflek saja,Neutral
925,"susah bgt liat orang lain bahagia sih, dasar para pelakor",Anger
295,"twt w mulai nga jelas ni keknya, mulai sedih, marah, kesel, nyinyir, lambe turah. bukan kind human lagi:(.. ok let's go ke pak ayi, aku ngobatin mental ku dulu gais",Anger
1052,"hh benci banget sama akgae, akun yg suka bahas 1 member aja trus suka berantem sama akun lain udah aku bub berantem gitu lama lama bakal saling jelekin member lain trus berubah jadi akgae aku maless mutualan sm ornag kaya gituu",Anger
4378,"wta, kalo gini gimana biar kaya normal lagi? money!",Neutral
4653,"yang dilihat itu progress nya bukan stuck pada cerita silam, bagaimana kamu bisa menilai orang lain berubah jika pandangan mu saja masih pada cerita lama",Neutral
2271,semangat deh gw,Joy
944,"eh kok papa kenal? namira liatin bokapnya penasaran. ""ini alex anaknya pak adin yg kecilnya suka kelai itu kan?!"" alex ngangguk, ""sampe sekarang juga masih suka kelai, om. cuma gak ada lawannya."" berani banget emang ini anak, bikin malu campur kesellll",Anger
5631,"orang-orang yang suka berkata jujur mendapatkan tiga hal, kepercayaan, cinta, dan rasa hormat. (khalifah ali bin abi thalib)",Neutral
5872,"baru pertama kali ada yang ingin lihat kami berkelahi, biasanya banyak yang bingung. karena terlihat serius ketimbang bercanda. jangan terlalu sedih dan jangan banyak dipikirkan, ai. banyak berdo'a saja mudah-mudahan abangmu berubah.",Neutral
12,"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",Anger
1117,"kebiasaan banget selalu bawa member lain, selalu ngebanding bandingin. dikira member lain gak sedih juga apa?",Anger
5153,"05.02.2022 tepat 1 tahun banyak penyesuaian, adaptasi, jengkel, nyebelin, walopun gw suka ngambekan kadang frontal tapi tetep harus faham dan cepet diselesaikan. ahh beli kue tart dulu dehh",Neutral
4556,aku selama dapet nilai nggak remidi disyukuri saja,Neutral
4449,"09.20 simpang agus salim : antrian kendaran normal diketiga kaki simpang, situasi arus lalulintas lancar",Neutral
3792,"suka banget keknya bawa dy buat dibanding"" in, habis itu jadi dy nya yang di drag",Love
1319,"di ig cuma sesekali doang bikin story, itu pun random isinya, cuma biar keliatan masih hidup aja, takut dikira dah mati",Fear
3994,cinta mati banget sama yang namanya pizza,Love
6919,bahkan jika itu palsu terimakasih telah membuatku merasa penting :),Sad
6473,semangat.. jangan nangis eiya air mata lu lebih berharga dari apa ye gue juga gatau :( tapi gue juga sedih si mana gak bisa ngedadahin :(,Sad
3011,kaget tapi senang aa changmin,Joy
6819,"guye ak lagi sedih bgt, kucing aku satu meninggal",Sad
3210,luar biasa pak,Joy
653,"kek apa ya gasuka sm teman yang ngasih tau tapi kaya sambil marah marah gitu, apa ga bisa kalem gitu",Anger
2570,ih enak bgt aa mau jg,Joy
3752,"me time adalah salah satu cara terbaik yang bisa dilakukan di weekend ala aku. kalo aku suka banget weekend sambil nonton drakor sepuasnya pake indihome ditemenin jajann, kalo weekend versi kamu apa nih bestiiee",Love
4030,"jika seseorang tidak mencintai anda janganlah di benci, karena mungkin akan tumbuh benih cinta kembali",Love
4865,ga nikah aj aku klo nurutin ini maaf saya cuma wanita biasa yang kurang ilmu agama,Neutral
6905,"dia baik , dia tanggung jawab , dia perhatian , dia pengganti sosok papah,dia mengerti aku , orang tuanya sayang anggap aku seperti anaknya , dia tidak membiarkan ak sedih , selalu khawatir kalo aku kenapa napa.. and now , i lost him forever",Sad
